year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,194,894,82.17
2004,1087,199,888,81.69
2005,1038,180,858,82.66
2006,1069,175,894,83.63
2007,1058,144,914,86.39
2008,1061,140,921,86.80
2009,1094,150,944,86.29
2010,1050,126,924,88.00
2011,1057,113,944,89.31
2012,1059,109,950,89.71
2013,1042,93,949,91.07
2014,1014,88,926,91.32
2015,1011,80,931,92.09
2016,1076,69,1007,93.59
2017,1043,55,988,94.73
2018,1090,49,1041,95.50
2019,1038,50,988,95.18
2020,967,29,938,97.00
